dep,nom,cp,nb_hab_2010,nb_hab_1999,nb_hab_2012,dens,surf,long,lat,alt_min,alt_max
2,Liesse-Notre-Dame,2350,1275,1326,1200,128,9.96,3.80445,49.6095,68,87
2,Chaudun,2200,261,282,300,30,8.52,3.26667,49.3167,105,157
2,Vuillery,2880,32,24,0,29,1.09,3.38333,49.4333,61,149
2,Omissy,2100,807,743,800,113,7.09,3.31667,49.8833,72,125
2,Pavant,2310,799,753,800,147,5.43,3.28333,48.95,57,206
2,Missy-sur-Aisne,2880,684,667,700,210,3.25,3.43333,49.3833,42,152
2,Cugny,2480,576,505,600,61,9.4,3.15,49.7,63,138
2,Parfondru,2840,346,295,300,38,9.08,3.71667,49.5333,69,189
2,Coingt,2360,77,73,100,10,7.31,4.08333,49.7833,155,231
2,Fonsomme,2110,535,554,500,55,9.6,3.4,49.9,82,131
2,Dury,2480,196,177,200,25,7.74,3.12889,49.7506,62,87
2,Royaucourt-et-Chailvet,2000,198,175,200,65,3.04,3.53333,49.5167,57,162
2,Landricourt,2380,127,128,100,21,5.83,3.36667,49.5,51,169
2,Sissonne,2150,2072,2110,2100,38,53.53,3.9,49.5667,71,131
2,Berlise,2340,126,100,100,19,6.59,4.11667,49.6667,127,192
2,Ribemont,2240,1984,2095,2000,73,26.91,3.46667,49.8,62,141
2,Sains-Richaumont,2120,1005,951,900,80,12.46,3.7,49.8167,96,159
2,Filain,2000,137,89,100,28,4.78,3.55,49.4667,64,198
2,Chevregny,2000,192,196,200,21,8.85,3.58333,49.4667,66,188
2,Montchâlons,2860,64,67,100,9,6.76,3.73333,49.5167,94,206
2,Brumetz,2810,222,183,200,30,7.24,3.15,49.1,62,161
2,Taillefontaine,2600,271,288,300,25,10.63,3.03333,49.3167,65,238
2,Guny,2300,446,446,400,47,9.32,3.26667,49.5167,42,152
2,Fresnoy-le-Grand,2230,3096,3272,3000,205,15.07,3.41667,49.95,96,157
2,Nouvron-Vingré,2290,226,200,200,24,9.25,3.2,49.4333,52,149
2,Magny-la-Fosse,2420,128,140,100,35,3.63,3.28333,49.9333,92,144
2,Cuisy-en-Almont,2200,317,355,300,34,9.17,3.25,49.4167,44,153
2,Montbavin,2000,41,35,0,7,5.44,3.51667,49.5333,67,193
2,Vorges,2860,378,377,400,79,4.78,3.65,49.5167,70,193
2,Montescourt-Lizerolles,2440,1684,1477,1700,267,6.29,3.2575,49.7387,68,102
2,Pont-Arcy,2160,129,109,100,40,3.18,3.61667,49.3833,42,150
2,Grugies,2680,1121,906,1000,220,5.08,3.26667,49.8,68,111
2,Bieuxy,2290,30,25,0,6,4.5,3.26667,49.45,69,158
2,Marcy,2720,157,184,200,21,7.3,3.4,49.8333,74,128
2,Braine,2220,2162,2069,2100,186,11.61,3.53333,49.3333,48,169
2,Orgeval,2860,72,66,100,29,2.41,3.7,49.5167,101,189
2,Marest-Dampcourt,2300,336,326,300,40,8.35,3.15,49.6,38,63
2,Cilly,2250,222,246,200,23,9.3,3.83333,49.7333,81,167
2,Harly,2100,1707,1801,1800,453,3.76,3.31667,49.8333,72,112
2,Rouvroy,2100,439,425,400,86,5.05,3.31667,49.85,73,121
2,Romeny-sur-Marne,2310,487,418,500,115,4.23,3.33333,48.9833,57,208
2,Douchy,2590,150,150,100,29,5.05,3.11667,49.7667,77,96
2,Vauxtin,2220,51,51,100,22,2.27,3.6,49.35,80,173
2,Rogécourt,2800,86,92,100,15,5.54,3.41667,49.6333,52,103
2,Montigny-Lengrain,2290,668,636,700,58,11.38,3.1,49.3667,36,163
2,Houry,2140,63,59,100,18,3.48,3.85,49.7833,90,172
2,Pierrepont,2350,394,377,400,37,10.54,3.78333,49.65,67,94
2,Dohis,2360,92,111,100,11,8.1,4.13333,49.75,175,243
2,Brasles,2400,1318,1235,1300,176,7.45,3.43333,49.05,61,214
2,Aubigny-en-Laonnois,2820,116,114,100,26,4.41,3.8,49.5,92,212
2,Paissy,2160,70,68,100,9,7.08,3.7,49.4167,60,201
2,Nouvion-le-Comte,2800,273,275,300,34,7.98,3.46667,49.6833,52,117
2,Monceau-le-Neuf-et-Faucouzy,2270,345,330,300,17,19.72,3.61584,49.7698,66,142
2,Raillimont,2360,90,77,100,18,4.9,4.15,49.7083,139,224
2,Dammard,2470,416,418,400,52,7.96,3.2,49.15,77,159
2,Passy-sur-Marne,2850,152,112,200,40,3.71,3.56667,49.0667,62,229
2,Lempire,2420,108,107,100,41,2.62,3.16667,49.9833,104,144
2,Cuiry-lès-Chaudardes,2160,84,42,100,16,5.15,3.76667,49.3833,46,160
2,Housset,2250,173,193,200,13,13.2,3.7,49.7833,85,157
2,Billy-sur-Aisne,2200,1081,1189,1100,144,7.47,3.38333,49.3667,56,160
2,Belleu,2200,3881,4032,3900,856,4.53,3.33333,49.3667,45,162
2,Pontavert,2160,596,444,600,44,13.37,3.81667,49.4167,47,120
2,Dizy-le-Gros,2340,790,754,800,39,19.96,4.01667,49.6333,92,162
2,Crouttes-sur-Marne,2310,645,634,600,148,4.33,3.24,48.98,54,201
2,Courmelles,2200,1700,1657,1700,251,6.76,3.31667,49.35,49,163
2,Bichancourt,2300,1041,937,1000,134,7.73,3.21667,49.5833,41,67
2,Beauvois-en-Vermandois,2590,278,305,300,37,7.51,3.1,49.8167,75,95
2,Priez,2470,50,47,0,10,4.93,3.26667,49.1333,115,179
2,Chassemy,2370,803,709,800,74,10.85,3.5,49.3833,43,160
2,Étrépilly,2400,81,85,100,15,5.13,3.33333,49.0833,131,222
2,Artemps,2480,359,338,400,56,6.31,3.18333,49.7667,62,93
2,Frières-Faillouël,2700,985,773,900,64,15.26,3.25,49.6667,57,108
2,Wiège-Faty,2120,231,200,200,30,7.47,3.73333,49.8833,101,164
2,Saint-Nicolas-aux-Bois,2410,111,92,100,16,6.64,3.41667,49.6,64,193
2,Gricourt,2100,869,739,900,87,9.92,3.25,49.8833,78,131
2,Blesmes,2400,371,381,400,38,9.7,3.45,49.0333,61,231
2,Ville-Savoye,2220,58,58,100,21,2.64,3.63333,49.3,55,163
